user_id	friend_id
837	1108203
3365	16527
3365	927148
4489	9437
6133	1325629
6863	300573
7570	152592
7570	1791068
10383	14314
11522	87132
12330	50852
13477	88899
13477	148782
22875	126534
26555	61838
26555	121163
26555	538620
29756	80797
31293	91723
44093	121163
44093	341612
44093	357040
45179	273519
46382	114008
53645	173784
53645	309852
53645	406437
53645	685324
53645	748322
53645	1079716
53645	1905947
57005	434948
61340	447122
61340	1309356
62506	91723
62506	92340
64841	176332
75692	282178
75692	1343685
75692	1809240
83731	1683804
91723	119335
91723	153736
92340	92942
92340	1465440
98351	119335
98848	142386
100540	169502
108505	766809
108505	1237651
114567	137390
121163	200326
121163	274915
128248	554466
129591	166811
139194	878653
145693	441406
146234	185401
151387	622071
161664	173784
161664	309852
161664	1947797
170904	262212
173784	309852
173784	447580
173784	640304
173784	685324
173784	748322
173784	1905947
173784	1947797
191940	609339
222754	368255
225327	1055038
226640	1055038
241904	312695
243199	1465440
246857	294116
246857	754515
254132	715573
255616	291790
255616	368255
276403	1338457
282960	787689
282960	1339576
284824	987567
287768	353092
287768	434948
287768	787689
291790	1855858
298593	754515
309123	1270666
309852	406437
309852	1905947
357040	434948
357040	486319
357040	502271
357040	1383208
359158	1432880
384681	949731
386924	1210208
399766	747322
406437	1905947
417131	534322
434948	485637
434948	787689
447580	1905947
459252	761200
463252	943496
466089	514621
470398	529658
471688	1353143
471688	1356671
485637	1004649
500679	558751
502271	1203851
515267	869267
520270	1090640
523950	695540
538620	781746
545762	1309356
553357	726407
563353	1614590
618157	654525
622071	997183
640304	903021
640304	1905947
684561	1905947
685324	748322
754515	774012
755264	1124965
787689	1423590
799172	846371
809065	942767
824627	1791068
879543	938872
885636	1789443
903021	1905947
910247	1514831
940680	1219809
962791	972756
962791	980712
962791	1175997
980712	1383208
983981	1459826
997965	1309356
1079716	1905947
1134241	1786148
1184495	1353143
1217813	1690429
1237651	1368995
1242416	1929503
1257780	1654505
1266534	1945704
1434067	1883522
1481315	1706615
1511184	1903812
1550348	1777014
1644594	1807670
1699344	1841052
1912555	1972340
